,name,platform,summary,user_review
15231,Pulse Racer,Xbox,"Pulse Racer takes you to a future where racers careen toward the clouds in sleek vehicles to gain an advantage over the competition. As a racer, you'll need a risk-taking mentality; but more importantly, you'll need a vehicle that suits your driving style and a driver who matches your technique. Linked directly to your vehicle, your body will be pushed to the limit in a variety of high-speed tracks. Harass your opponents with missiles, mines, or direct plasma beams and slingshot around tight turns.",2.2
3063,Empires: Dawn Of The Modern World,PC,"From renowned game designer Rick Goodman and respected game developer Stainless Steel Studios comes a detailed RTS that lets you completely command unique, historically accurate civilizations?from China to Germany and the United States. From the Middle Ages to World War II, lead your nation to dominate the globe. Each civilization's strengths and weaknesses affect the gameplay experience. Your ability to adapt to these differences is only one of the challenges you will face as a world leader. [Activision]",7.9
8570,Beyond Blue,Xbox One,"Beyond Blue takes players into the near future, where they will have the opportunity to explore the mysteries of our ocean through the eyes of Mirai, a deep-sea explorer and scientist. She and her newly-formed research team will use groundbreaking technologies to see, hear, and interact with the ocean in a more meaningful way than has ever been attempted. The game features an evocative narrative and exploration of an untouched world. Embracing the same inclusive development process that was used to create Never Alone (Kisima Ingitchuna), E-Line’s BAFTA award-winning game about Alaska Native culture, the company partnered with BBC Studios (developers of the acclaimed Blue Planet II), OceanX Media, world-class game makers, and some of science’s leading ocean experts to craft an experience that reflects the awesome wonder and unbounded mystery that infuses our planet’s beating blue heart.",6.8
10962,Tamagotchi Connection: Corner Shop 2,DS,"In Tamagotchi Connection: Corner Shop 2, shop owners must keep their bizarrely adorable Tamagotchi partners happy by earning “Gotchi points” through performing mini-game tasks for the customers. Gotchi points can be used to clothe, feed, and care for your Tamagotchi partners. As more points are collected, new types of shops for players to open will become unlocked. Shops not seen in the original such as the Bowling Alley and Sushi Bar will be available, as well as upgrades to old favorites like the Concert Hall where players can sing along to the music with the DS’ microphone. In Tamagotchi Connection: Corner Shop 2, catering to the needs of your customers will be essential in keeping the Tamagotchi happy. The five different happiness levels will determine the dialogue that occurs between the player and their Tamagotchi partner, and nobody likes a grumpy Tamagotchi. [Namco Bandai]",5.8
11025,Inferno Pool,PlayStation 3,"This isn't Pool as you know it. Multiplayer mayhem awaits 1-4 local or online players, in a race to clear the most balls from your table. Pot balls to fire at your opponents, or stockpile balls to unleash an onslaught. Master Jump Shots, Combos, Bank Shots, Kick Shots and build your multiplayer with an unbroken potting streak to unleash the devastating Inferno Mode. Alliances will be formed, friends will be betrayed, and the battle isn't over until the stat screen appears. [Dark Energy]",6.6
5781,Master X Master,PC,"Experience MXM's unique Tag System and quickly swap between two chosen Masters mid-combat, offering a new level of strategy, combos and tactics to master the battlefield.",7.6
14283,Spider-Man 3,PlayStation 2,"Possess the never-before-experienced powers of Black-Suited Spider-Man. Unleash incredible agility, amazing durability and awe-inspiring web abilities. But be warned - the rush your intensified powers bring could overwhelm you. More freedom than ever. More city than ever. For the first time, enjoy unprecedented freedom—choosing what you want to do, when you want to do it. There's no checklist to complete in order to progress. You set your own next goal, roaming anywhere you want - including subterranean areas such as subways, sewers and villains' lairs - in the most massive, detailed New York City ever seen in a Spider-Man game. Experience an all-new combat system, two exciting ways. Redesigned from the ground up, a unique combat system empowers both Spider-Man and Black-Suited Spider-Man to perform suit-specific powers and abilities. State of the art animations, combos and finishers make punch, kick and web attacks more super-heroic than ever. Battle 10 of Spider-Man’s most infamous enemies from the movie and Marvel universe, including Sandman and Venom. [Activision]",6.6
2301,Sega Ages: Sonic The Hedgehog 2,Switch,"Super Speed! Sonic's back and better than ever. He's a blur in blue! A blaze of action! With his new Super Spin Dash. And a new, fabulous friend, ""Tails"" the Fox. You won't believe it 'til you see it. And when you play, you won't stop. Super Play! Defy gravity in hair-raising loop-de-loops. Grab Power Sneakers and race like lightning through the mazes. All at break-neck speed! Super Power! Sonic's attitude is can-do. The mad scientist Dr. Robotnik is planning a world takeover. Sonic gets tough in the fight to save his friends and squash Robotnik for good!",8.0
1121,Guitar Hero World Tour,Wii,"Guitar Hero World Tour marries Guitar Hero's guitar gameplay, with a cooperative band experience that combines the most advanced wireless instruments with revolutionary new online and offline gameplay modes. The game features a slick newly redesigned guitar, a genuine electronic drum kit and a microphone, as well as an innovative Music Studio music creator that lets players compose, record, edit and share their own rock and roll anthems, along with online Band Career and 8-player ""Battle of the Bands."" Guitar Hero World Tour is comprised entirely of master recordings from some of the greatest classic and modern rock bands of all-time including Ozzy Osbourne, Van Halen, Linkin Park, The Eagles, Sublime and many more. Additionally, the game offers significantly more localized downloadable music than ever before on all of the next-generation consoles. Budding rock stars are also given creative license to fully customize everything from their characters’ appearance and instruments to their band’s logo and album covers. Featuring three drum pads, two raised cymbals and a bass kick pedal, the drum controller combines larger and quieter, velocity-sensitive drum heads with soft rubber construction to deliver authentic bounce back and is easy to set up, move, break down and store. Virtual musicians can live out their rock and roll fantasies by playing either a single instrument, or any combination of instruments, in addition to the full band experience. Guitar Hero World Tour introduces Battle of the Bands mode which allows eight players to join online and challenge each other band-to-band to determine who is the best of the best. In the Band modes, up to four players can jam together, online or off, as they progress through the game, and in single-player Career Mode, players can jam on any of the instruments in branching venue progression enabling them to rock out in the order of their choice. The game's Music Studio lets players express their musical creativity by giving them access to a full compliment of tools to create digital music from scratch, utilizing all of the instruments, and then play their compositions in the game. Music creators can share their recordings with their friends online through GHTunes where other gamers can download their unique compositions and play them. [Activision]",7.5
4877,Dissidia 012: Duodecim Final Fantasy,PSP,Check out new tales of these new warriors and an enhanced battle system.,8.3
2471,Motoheroz,Wii,MotoHeroz is a side-scrolling platform racer game for WiiWare.,7.5
11647,Zoo Tycoon 2: Endangered Species,PC,"Endangered Species brings some of the world's rarest animals home to your zoo. This expansion pack for Zoo Tycoon 2 adds a slew of exotic new content for a zookeeper just like you. Treat yourself and your guests to breathtaking overhead views from the new sky trams. Or drive through your exhibits in the new Jeep vehicle tours. Build bridges and observation decks for a refreshing new view of your animals. And that’s not all. There are also erupting volcanoes, new endangered-species-themed buildings and scenery, and a whole new set of challenges and campaigns. [Microsoft]",7.6
8291,Dirt 5,PC,"Take a trip around the world to and race on over 70+ unique routes across 10 different global locations in stunning environments complete with dynamic weather and time of day. Get behind the wheel of an eclectic and exciting roster of cars. World-renowned voice talents troy baker and nolan north head up the cast of dirt 5's story-driven Career mode. Local split-screen of up to four players on offline modes, including Career, makes dirt 5 the perfect couch multiplayer racing game as you battle for position with your friends. Capture your biggest jumps and best moves with a detailed photo mode, and show your creative flair with dirt's deepest ever livery editor for all cars.",4.2
2609,Fifa Soccer 2002,PlayStation 2,"With all-new ""open passing,"" you have more control and precision than ever before. Find a breaking forward with a perfect 40-yard ball into open space, embarrass the tightest defense with cunning one-twos, or fool any keeper with deep swerving crosses. [Electronic Arts]",6.2
8288,Flotilla,PC,Flotilla is a turn-by-turn space action exploration game.,7.3
12742,Karateka,Xbox 360,Jordan Mechner returns to game development for the first time since Prince of Persia: Sands of Time with a downloadable remake of his Apple II action hit from 1984.,6.7
351,Ncaa Football 2002,PlayStation 2,"Gamers can select from any of 117 Division 1-A or 27 Division 1-AA teams. Play-by-play and color commentary are provided by ESPN's Brad Nessler, Lee Corso and Kirk Herbstreit. Brand-new team-specific playbooks emulate actual college plays run by 117 Division 1-A teams. [EA Sports]",8.4
9840,Metal Slug 4 & 5,Xbox,"Now you can play two of your arcade favorites without any quarters, since Metal Slug 4 and 5 have come to the PlayStation 2 in one complete package. Join Marco and a cast of other Metal Slug characters as they battle corrupt forces in the air, on the sea, and on land. Use power-ups, special weapons, health, and ammo to try to keep up with each game's nonstop action and challenging enemies. Of course, you can also test-drive the next generation of Metal Slug vehicles.",7.9
7038,Midway Arcade Treasures 2,Xbox,"Midway Arcade Treasures 2 brings 20 classic arcade games back to next-generation consoles. This compilation includes such favorites as Mortal Kombat 1, 2, and 3, Spy Hunter 2, Gauntlet 2, NARC, Cyber-Ball, Wizard of Wor, Primal Rage, Steel Talons, Arch Rivals, and more. Each game can provide hours of retro-gaming entertainment. Midway Arcade Treasures 2 also features a documentary on the origins of these games.",6.7
9174,Sniper Elite V2,PlayStation 3,Sniper Elite V2 is a third person tactical WWII shooter and the sequel to 2005's Sniper Elite.,6.8
3463,Red Dead Redemption: Liars And Cheats,PlayStation 3,"Red Dead Redemption: Liars and Cheats introduces Stronghold, a team based Competitive Multiplayer Mode, and the Explosive Rifle, a new, destructive addition to the arsenal.",7.8
3465,Hot Shots Golf Fore!,PlayStation 2,"(Also known as ""Minna No Golf 4,"" or ""Everybody's Golf 4"") Join in on the off-the-wall fun, true-to-life physics and new Online gameplay. With more courses and more characters than ever before Hot Shots Golf FORE! delivers more of what HSG fanatics have grown to love. Join a full cast of off-the-wall characters from the Clubhouse. 34 in all. Enjoy a variety of 15 different courses, from challenging 18-hole layouts, par 3 executive courses, and back by popular demand, Miniature Golf. Breathtaking graphics feature fully detailed course layouts with tree-lined fairways, manicured greens and treacherous hazards. Brilliant lighting effects and dramatic camera angles add energy and drama to spectacular shots and untimely 'shanks'. True-to-life golf physics and touch sensitive controls demand your careful consideration to golf?s many variables, such as wind, ball lie and course elevation. Intuitive controls and adjustable difficulty settings provide easy access for hackers and challenging gameplay for seasoned veterans. Fast paced arcade style gameplay eliminates waiting for load times...or slow foursomes. Test your golf skills in several different modes including, Tour, VS, and Training modes. Online play...Share the course with thousands of Hot Shots Golf fanatics from across the nation. [Sony]",8.4
2140,Magic: Duels Of The Planeswalkers 2014,Xbox 360,"Available on the Android platform for the first time ever in addition to iPad, Xbox LIVE Arcade, Steam and PlayStation Network, Magic 2014 - Duels of the Planeswalkers will offer players exciting new features as they partner with Planeswalker Chandra Nalaar to track down a manipulative and dangerous Planeswalker foe. An immersive storyline and strong integration with the Magic 2014 - Core Set ties the experience together for players, culminating in an end-of-summer Magic Celebration that brings all Magic fans together in stores across the world.",5.5
10870,Vaporum,Xbox One,"Vaporum is a grid-based dungeon crawler RPG in an original steampunk setting, inspired by old-school classics of the genre. Stranded in the middle of an ocean, in front of a gigantic tower, the hero has to find out what the place is, what happened there, and most importantly, who he is.",7.3
150,Guitar Hero Ii,Xbox 360,"Rock the Rhythm, Lead, and Bass Guitar tracks in the follow-up sequel to ""Guitar Hero."" Form your guitar duo and shred riffs cooperatively or go head to head in all new multiplayer modes. With over 55 tracks to rock out to, you'll go from Guitar Hero to Guitar god in one press of a fret button. Choose from multiple rock characters and jam at concert venues that grow in size as your rock career progresses. You'll start your rock career playing small clubs and bars, but if you play well you'll work your way up to stadiums and arenas. Guitar Hero II takes the guitar rock experience to new volumes by allowing players to play 3 different guitar tracks: Rhythm, Bass, and Lead. Guitar Hero II introduces all new multiplayer modes like: cooperative, pro-face off, and face off, letting 2 Guitar Heroes conduct their own symphonies of destruction. Shred School: Guitar Hero II features an all new practice mode, allowing Guitar Zeroes to become Guitar Heroes with enough practice. With Guitar Hero II for Xbox 360 rock rhythm, lead, or bass guitar tracks with downloadable content and the new X-Plorer controller, designed specifically for the Xbox 360. [RedOctane]",8.1
7885,Beyond: Two Souls,PlayStation 4,"Live the life of Jodie Holmes, a young woman who possesses supernatural powers through her psychic link to an invisible entity. Experience the most striking moments of Jodie's life as your actions and decisions determine her fate. As she traverses the globe, Jodie will face incredible challenges against a backdrop of emotionally-charged events never before seen in a video game.",7.9
6820,Naruto: Clash Of Ninja Revolution,Wii,"(Also known as ""Naruto: Clash of Ninja MVZ"") A head-to-head fighting game based on episodes from VIZ Media's anime series SHONEN JUMP NARUTO and includes characters that have never been featured in the Clash of Ninja game series. The game takes advantage of the Wii Remote in fast-paced ninja action for up to four players in nine different gameplay modes. The game allows players to launch attacks with the Wii Remote using Ninja-like movements, and features special mini-games created exclusively for use with the Wii Remote. [D3 Publisher of America]",7.9
11239,Chaos Legion,PlayStation 2,"Savage by Nature. Two allies torn apart by tragedy...yet bound by fate. The three sacred glyphs...the mythic and forbidden symbols of an ancient world torn apart. Only these mystic relics have the power to open the Gateway of Chaos and lead the people to the Red Moon. Legend says that when the three glyphs meet, the three worlds will once again be reunited. Two men, once friends, now have their fates tied together by the tragic death of a young maiden. One, a brave young knight and summoner of the Chaos Legion. The other, a noble lord who has fallen to the dark side. Both hold thekey to the sacred glyphs in their power. The legions shall be summoned in this dark gothic opera! [Capcom]",7.9
3501,Battle Brothers,PC,"Battle Brothers is a turn based strategy RPG mix which has you leading a mercenary company in a gritty, low-power, medieval fantasy world.",7.9
2150,Shovel Knight: King Of Cards,Switch,"Play as King Knight, the gilded goon himself, as he travels through 4 new worlds and more than 30 all new courses, on a journey to best the Three Kings who rule over the land. With a high flying spin and a boisterous bash, he can crash through all who would dare stand in his way.",8.0
5888,Deus Ex: Human Revolution - The Missing Link,Xbox 360,"The DEUS EX: HUMAN REVOLUTION conspiracy grows deeper in The Missing Link. During lead character Adam Jensen’s quest for the truth in DEUS EX: HUMAN REVOLUTION, he mysteriously vanishes for three days. Where was he? What did he find out? The Missing Link reveals it all.",7.0
14494,Fantastic Four: Rise Of The Silver Surfer,Xbox 360,"Marvel’s first family of Super Heroes face its greatest challenge yet as the enigmatic, intergalactic herald, The Silver Surfer, comes to Earth to prepare it for destruction. Transform into any member of the Fantastic Four to fight enemies from the Fantastic Four Universe including Silver Surfer, Super Skrull and more. Battle in 4-player co-op with easy pick up and play ability. Combine super powers for devastating team attacks with the new Fusion Attack System. Truly destructible environments: smash, wreck, wreak havoc. Loads of unlockables including alternate Fantastic Four costumes, historical comic covers, and more. Enhance your super powers: use the Sixaxis controller for mega boost attacks. [2K Games]",5.6
4554,Nascar Thunder 2004,PC,"From 200 MPH super-speedways to hairpin turns on 11 fantasy tracks, tuning your car and finding the line is no longer enough. Now you?re running to the edge against 42 other unique NASCAR® personalities every race, drivers who remember your every move and won?t think twice about paying you back. Out-smart and out-drive them as you battle three-wide from green to checkers. Online or on your own, racing just became a contact sport. Grudges & Alliances: Emotion comes to a racing game for the first time as CPU drivers remember your every move and aren't afraid to pay you back. Pick up & Play controls help new fans navigate over 60 events including all real world NASCAR races, plus 12 winding road courses. NASCAR Thunder 2004 goes online with peer-to-peer racing on the PlayStation®2 and 16 player races on PC. The most extensive Career Mode in a NASCAR video game just got deeper and easier to navigate! The deepest NASCAR game ever created with over 70 drivers and 175 authentic cars and the first game with a full pack of 43 Cup Series cars. [Electronic Arts]",7.5
6729,Tropico 5 Penultimate Edition,Xbox One,"You, as El President, will first take control of the infamous island of Tropico during early colonial times and then guide it through the centuries as the world changes and moves ever forward. You must tackle the changing needs of your people, as well as opposing governments and factions, and thus lay the foundations for your own dynasty.",6.4
251,God Of War: Chains Of Olympus,PSP,"[Metacritic's 2008 PSP Game of the Year] Unleash the power of the Gods and embark on a merciless quest as Kratos, an ex-Spartan warrior driven to destroy Ares, the God of War. Armed with lethal double chainblades, Kratos must carve through mythology's darkest creatures including Medusa, Cyclops, the Hydra and more, while solving intricate puzzles in breathtaking environments. Driven by pure revenge, nothing can stop Kratos from achieving absolution. [SCEA]",8.6
12025,The Westport Independent,PC,"The Westport Independent is a censorship simulator set in a post-war country, governed by the recently elected Loyalist Party. As the editor of one of the final remaining independent newspapers in the country, your task is to remove and edit the content of your paper, affecting the people’s opinion of both the rebels and the Loyalist government. With an increase of rebel activity and an ever watching government breathing down your neck, whose truth will you print?",6.2
3691,Far Cry 4,PC,"Concealed in the monstrous Himalayas lies a country ingrained in tradition and brutality. You become Ajay Ghale, returning to the country of his birth, the this forests and formidable snow capped summits of Kyrat, to fulfill your mother’s dying wish of spreading her ashes. This bitter and unpredictable country offers visitors opportunity and danger. You quickly find yourself ensnared in a rebellion to overthrow the thorny regime of Pagan Min, a statesman known as much for his sense of style and charisma as for his cruelty and naked brutality. Navigating the treacherous landscape, you find your fate increasingly linked to the choices you make because in Kyrat, and every second is a story. In Far Cry 4, you’ll conquer fortress outposts from the back of a 6-ton elephant and hit the skies as you rain down explosives from your moving perch in the gyrocopter. The vertical landscape of the Himalayas isn’t just a gorgeous backdrop, but a playground that encourages the player to fight, hunt and explore, grappling cliffs or launching into the air, plummeting to the valley underneath your feet in a controlled free fall with your wing suit. You’ll carry with you a unique arsenal of weaponry that lets you play as you will, whether it’s sniping, sneaking or all-out assault. When all else fails, animals can be your biggest allies or your greatest peril.",6.9
10619,Lupin The 3Rd: Treasure Of The Sorcerer King,PlayStation 2,"Fantastic heists, impossible escapes, and busty brunettes - all in a day's work for anime's favorite thief. Play with all the style and panache of a British spy while committing crimes even the most accomplished cat-burglar would be proud of. Use disguises, stealth and of course the loot, to solve puzzles, gather clues and tackle obstacles. Will you reach the King's palace and its golden treasures? And watch out for the lovely Fujiko - she might steal more than your heart... [Bandai]",7.2
5180,Operation Flashpoint: Resistance,PC,"Resistance, the official expansion to Operation Flashpoint, is set years before O.F.'s Cold War reached crisis point, and delivers a campaign which forms a prequel to the original game's plot. The game casts the player as Victor Troska, an experienced ex-Special Forces soldier. Having turned his back on his military past, Troska has settled into respectable civilian life on an island just a short distance from the original game's three islands. However, his situation changes when Soviet forces invade the island group, destroying Troska's idyllic dreams. Reluctant at first to return to a conflict situation, he is forced to participate in, and then lead, the ramshackle Resistance effort, which grows up in response to the Soviet occupation. [Codemasters]",8.7
1213,Xcom: Enemy Within,PC,"XCOM: Enemy Within is the expansion to the 2012 strategy game XCOM: Enemy Unknown. Enemy Within adds an array of new abilities, upgrades and weapons to combat new enemy and alien threats. This expansion pack also introduces new maps, new tactical and strategic gameplay, and new multiplayer content providing a renewed gameplay experience.",8.1
8796,Rocket Arena,Xbox One,"Welcome to a world where the rules are written in rocket fuel. Rockets control everything in Rocket Arena, an explosive 3v3 shooter where you’re never out of the action. Master your hero’s unique rockets and abilities to rule the arena and become a champion.",7.6
1346,Madden Nfl 10,Xbox 360,"Experience first-hand what it's like to Fight for Every Yard in Madden NFL 10. With the all-new Pro-Tak animation technology, players have more control over the outcome of each play. Whether driving a receiver towards the first down, or battling for a fumble at the bottom of a pile, the play won't end until the whistle blows. Add to that the most immersive broadcast presentation and online innovation to date, and Madden NFL 10 captures the authenticity and emotion of the NFL like never before. Pro-Taks's all new animation technology provides unprecedented control over the outcome of every play. Drag defenders towards the first down marker, including up to 9-man gang tackles, fight for a fumble at the bottom of the pile, and evade the rush with all-new quarterback avoidance actions. Enhanced play at the line of scrimmage features a new blocking system that allows the quarterback to step into the pocket and gives the defensive line more control over the rush. Authenticity - Referees peeling players off a fumble pile, the chain gang rushing in to measure for a key first down, and all-new player equipment ensure that if you see it on Sunday, you’ll see it in Madden NFL 10. Fight for Online Dominance - Delivering the most comprehensive online offerings in franchise history, Madden NFL 10 includes new modes to satisfy the competitive and cooperative football gamer. New TV broadcast-style presentation and cinematic cameras bring the suspense and intensity of the NFL to your living room. Enhanced Franchise Mode - Run each aspect of an NFL franchise: draft players, sign free agents, manage the salary cap - just like a real GM. Enjoy all of the action throughout the league via a new, network inspired highlight show. The most customizable version of Madden NFL to date. Alter gameplay options to adjust the experience to your liking. A revamped play calling system and menu takes you to kickoff faster than ever before. Speed up online matches with accelerated clocks, streamlined presentation and more. [Electronic Arts]",6.2
10930,Nhl 2K10,PlayStation 3,"NHL 2K10 redefines the sports gaming experience with a new emphasis on social gaming. Whether you're a die-hard NHL fan or a casual player, NHL 2K10's pick-up-and-play controls, true-to-life authenticity and variety of on- and off-line multiplayer modes promise hours of entertainment for any gamer. Among the new features that will make this the must-have hockey game of the season include: New Gameplay Mechanics - Completely rewritten AI, enhanced defensive controls and stick lifts, stumble shots, a new defensive skating model and new incidental contact and small animation systems. Enhanced Presentation - All-new rink intros for each arena, improved goal celebrations, enhanced visuals, and greatly improved, true-to-life character models, with San Jose Sharks commentators Randy Hahn and Drew Remenda returning with new broadcast commentary. Improved Franchise Mode - NHL 2K10 features a new contract/free agency system, improved roster management, an updated financial model, dynamic player progression, and fantasy drafts. New Franchise Co-op Play - Play a franchise season game with or against a friend on- or offline, or play a traditional game against the CPU. Franchise Blog / 2KSports.com Integration - Publish your franchise stats and standings, and upload game highlights and screenshots to your personal page at 2KSports.com. Enhanced Online Modes - New seamless online integration connects players in Team Up games, tracks your progress with My Player Card, and offers full league, leaderboard, tournament and 2K Share support. Create Team Mode - Create a persistent team with friends by designing your uniforms, developing a unique team identity, and then competing against other created teams online, offline and in Franchise mode. [2K Sports]",7.7
